order_id,customer_id,city,food_category,order_value,time_of_day,order_date,order_status,delivery_time_mins,rating,revenue_category,is_completed
ORD00001,CUST0088,Chicago,Burgers,72.45,Evening,9/17/2024,Completed,49,2.5,High,1
ORD00002,CUST0429,Atlanta,Burgers,42.09,Afternoon,1/25/2024,Refunded,18,3.8,High,0
ORD00003,CUST0416,Los Angeles,Desserts,76.48,Afternoon,4/16/2024,Completed,56,2.1,Medium,1
ORD00004,CUST0053,New York,Mexican,40.35,Late Night,2/7/2024,Completed,37,2.3,High,1
ORD00005,CUST0467,New York,Chinese,74.07,Afternoon,2/17/2024,Completed,52,4.8,Medium,1
ORD00006,CUST0403,Miami,Desserts,50.65,Evening,9/29/2024,Completed,20,3.9,High,1
ORD00007,CUST0238,Chicago,Chinese,82.82,Morning,5/21/2024,Refunded,51,4.5,Medium,0
ORD00008,CUST0077,Seattle,Salads,30.67,Evening,9/8/2024,Refunded,26,3.1,High,0
ORD00009,CUST0244,Seattle,Sushi,27.12,Evening,10/6/2024,Completed,71,1.6,Medium,1
ORD00010,CUST0163,Chicago,Pizza,32.46,Late Night,10/23/2024,Cancelled,16,1.9,Medium,0
ORD00011,CUST0032,Miami,Breakfast,34.9,Afternoon,4/1/2024,Refunded,67,4.1,Medium,0
ORD00012,CUST0472,Los Angeles,Desserts,37.03,Evening,2/8/2024,Completed,46,1.2,Medium,1
ORD00013,CUST0435,Miami,Burgers,47.27,Afternoon,8/29/2024,Cancelled,15,4.1,Medium,0
ORD00014,CUST0127,Houston,Breakfast,22.93,Late Night,5/2/2024,Cancelled,74,4.6,Medium,0
ORD00015,CUST0021,New York,Salads,83.62,Late Night,11/8/2024,Completed,36,3.8,Low,1
ORD00016,CUST0021,Chicago,Sushi,41,Late Night,12/23/2024,Completed,47,3.4,High,1
ORD00017,CUST0393,Houston,Burgers,31.96,Evening,3/24/2024,Refunded,53,3.4,Medium,0
ORD00018,CUST0073,Dallas,Breakfast,37.71,Late Night,12/24/2024,Completed,44,5,Medium,1
ORD00019,CUST0431,New York,Salads,21.54,Afternoon,3/9/2024,Completed,74,4.5,Medium,1
ORD00020,CUST0090,Houston,Burgers,49,Afternoon,5/30/2024,Completed,64,4.1,Low,1
ORD00021,CUST0255,Seattle,Chinese,18.7,Late Night,12/8/2024,Completed,55,4.9,Medium,1
ORD00022,CUST0023,Dallas,Sushi,50.64,Morning,6/4/2024,Refunded,47,1.7,Low,0
ORD00023,CUST0105,Seattle,Pizza,14.27,Morning,6/8/2024,Completed,39,3.4,Medium,1
ORD00024,CUST0405,Los Angeles,Burgers,48.54,Late Night,7/8/2024,Refunded,36,3.8,Low,0
ORD00025,CUST0054,Dallas,Sushi,46.79,Evening,7/5/2024,Refunded,16,2,Medium,0
ORD00026,CUST0328,Houston,Burgers,30.72,Evening,7/2/2024,Refunded,58,4.3,Medium,0
ORD00027,CUST0497,Dallas,Salads,75.73,Evening,12/14/2024,Completed,66,3.2,Medium,1
ORD00028,CUST0447,Seattle,Mexican,20.11,Evening,3/16/2024,Cancelled,62,2.4,High,0
ORD00029,CUST0346,Atlanta,Mexican,38.2,Evening,9/24/2024,Completed,75,4.8,Low,1
ORD00030,CUST0240,Dallas,Breakfast,59.96,Morning,4/23/2024,Completed,62,1.6,Medium,1
ORD00031,CUST0390,Dallas,Sushi,75.63,Evening,11/7/2024,Refunded,70,4.3,High,0
ORD00032,CUST0057,Miami,Pizza,39.36,Evening,12/12/2024,Completed,34,3.7,High,1
ORD00033,CUST0318,Houston,Salads,17.33,Afternoon,8/30/2024,Refunded,51,4.3,Medium,0
ORD00034,CUST0002,Chicago,Pizza,54.84,Morning,12/12/2024,Refunded,36,4.2,Low,0
ORD00035,CUST0365,Chicago,Chinese,83.48,Morning,8/31/2024,Refunded,35,3,Medium,0
ORD00036,CUST0410,Chicago,Sushi,31.81,Evening,11/21/2024,Completed,15,2,High,1
ORD00037,CUST0428,New York,Salads,29.88,Evening,3/16/2024,Completed,42,1.5,Medium,1
ORD00038,CUST0417,Atlanta,Burgers,28.22,Morning,1/13/2024,Completed,40,3.7,Medium,1
ORD00039,CUST0256,Atlanta,Breakfast,12.34,Late Night,2/3/2024,Completed,26,1.7,Medium,1
ORD00040,CUST0240,Los Angeles,Breakfast,81.39,Late Night,11/22/2024,Cancelled,42,2.7,Low,0
ORD00041,CUST0288,Chicago,Burgers,65.5,Afternoon,4/29/2024,Refunded,58,1,High,0
ORD00042,CUST0151,Atlanta,Breakfast,85.14,Evening,8/30/2024,Refunded,65,4,High,0
ORD00043,CUST0227,Miami,Desserts,88.61,Afternoon,5/27/2024,Cancelled,39,4.3,High,0
ORD00044,CUST0394,Dallas,Sushi,58.66,Morning,4/24/2024,Completed,69,3.7,High,1
ORD00045,CUST0038,Los Angeles,Pizza,86.3,Morning,12/11/2024,Completed,63,3.4,High,1
ORD00046,CUST0458,Dallas,Mexican,60.5,Morning,11/21/2024,Completed,28,4.2,High,1
ORD00047,CUST0423,Chicago,Sushi,59.49,Afternoon,1/15/2024,Completed,56,3.7,High,1
ORD00048,CUST0239,Chicago,Breakfast,63.65,Afternoon,2/22/2024,Completed,58,2.4,High,1
ORD00049,CUST0011,Dallas,Pizza,77.4,Evening,7/22/2024,Completed,33,2.2,High,1
ORD00050,CUST0478,Chicago,Desserts,36.41,Evening,1/28/2024,Completed,40,3.4,High,1
ORD00051,CUST0250,New York,Breakfast,69.01,Evening,1/9/2024,Cancelled,60,2.4,Medium,0
ORD00052,CUST0383,Dallas,Breakfast,12.26,Late Night,9/12/2024,Refunded,73,1.4,High,0
ORD00053,CUST0101,Chicago,Desserts,55.41,Late Night,8/21/2024,Completed,17,4.2,Low,1
ORD00054,CUST0087,Miami,Mexican,69.87,Evening,9/1/2024,Refunded,63,3.4,High,0
ORD00055,CUST0466,Miami,Pizza,71.46,Morning,3/5/2024,Refunded,63,4.8,High,0
ORD00056,CUST0482,Atlanta,Desserts,22.64,Evening,9/11/2024,Cancelled,67,1.8,High,0
ORD00057,CUST0171,Atlanta,Breakfast,59.66,Morning,6/27/2024,Completed,65,2.5,Low,1
ORD00058,CUST0115,Atlanta,Salads,85.47,Late Night,7/21/2024,Refunded,72,3.5,High,0
ORD00059,CUST0128,Houston,Salads,63.27,Afternoon,5/15/2024,Completed,74,1.9,High,1
ORD00060,CUST0413,Chicago,Chinese,33.16,Afternoon,2/22/2024,Completed,16,3.8,High,1
ORD00061,CUST0429,Los Angeles,Chinese,37.69,Late Night,4/11/2024,Cancelled,66,1.1,Medium,0
